CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0069,0.9330062456640085
C0001,C0026,0.9260384319836948
C0001,C0120,0.8897661475818832
C0002,C0159,0.974677975541677
C0002,C0178,0.9562970945593456
C0002,C0133,0.9466718926771474
C0003,C0195,0.8457331696404781
C0003,C0166,0.8136758030838467
C0003,C0031,0.7838135872182519
C0004,C0065,0.9370415061536184
C0004,C0075,0.9160343998796017
C0004,C0012,0.9096689716098232
C0005,C0007,0.9655496530607072
C0005,C0085,0.9603057509559746
C0005,C0197,0.9436592414418912
C0006,C0024,0.895057395278321
C0006,C0135,0.8125041727964245
C0006,C0108,0.7950915403043144
C0007,C0005,0.9655496530607072
C0007,C0085,0.941178130350933
C0007,C0055,0.9343096721112976
C0008,C0143,0.9107330917947131
C0008,C0093,0.909172584837623
C0008,C0149,0.8983784462936195
C0009,C0198,0.999977050774932
C0009,C0150,0.9923856805651172
C0009,C0033,0.9892951384193079
C0010,C0176,0.9573706719470325
C0010,C0056,0.9396796775267392
C0010,C0030,0.9162332058518148
C0011,C0161,0.9034621374231105
C0011,C0027,0.8825735551193489
C0011,C0117,0.8812081820192812
C0012,C0065,0.9565479089478117
C0012,C0148,0.9307428858856912
C0012,C0113,0.9166883260530918
C0013,C0156,0.9458349805022851
C0013,C0099,0.9165228853620485
C0013,C0141,0.8662725211706751
C0014,C0060,0.9993463898879904
C0014,C0097,0.9927190007188026
C0014,C0128,0.9888598205451722
C0015,C0123,0.9985953275502274
C0015,C0128,0.9920496847106787
C0015,C0080,0.9918169187670424
C0016,C0117,0.9452833430348538
C0016,C0107,0.9031049073858222
C0016,C0074,0.8704458002048803
C0017,C0075,0.9217917544275709
C0017,C0004,0.8796219238191646
C0017,C0018,0.8710539946389597
C0018,C0068,0.9572071489390334
C0018,C0122,0.9016330152717089
C0018,C0017,0.8710539946389597
C0019,C0070,0.9255416963533912
C0019,C0125,0.9081623032847876
C0019,C0191,0.9024898693155872
C0020,C0130,0.9893769332787913
C0020,C0140,0.96198624059068
C0020,C0009,0.9167403240328793
